Item,Source,FieldID,BinaryID,RoiID,ObjID,ND.T,ND.M,ND.Z,Class,Area,EqDiameter,Length,Width,MaxFeret,MinFeret,MaxFeret90,Circularity,MeanIntensity,MeanRatio,MeanCa2+,MeanCorrFRET,MeanFRETEff,MeanTitration,Sample,DateCollected,Population,Temperature,pH
79,Frozen,3,Threshold,N/A,324,N/A,N/A,N/A,,11047.68,118.6,130.43,84.7,130.43,110.4,120.37,0.829,33.08,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
80,Frozen,3,Threshold,N/A,336,N/A,N/A,N/A,,9531.36,110.16,119.39,79.84,119.39,103.2,104.7,0.926,27.06,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
81,Frozen,3,Threshold,N/A,337,N/A,N/A,N/A,,10146.24,113.66,121.53,83.49,121.53,110.4,111.86,0.917,32.32,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
82,Frozen,3,Threshold,N/A,349,N/A,N/A,N/A,,10428.48,115.23,139.6,74.71,131.15,110.4,110.8,0.713,27.37,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
83,Frozen,3,Threshold,N/A,353,N/A,N/A,N/A,,9832.32,111.89,119.37,82.37,119.37,108.75,111.1,0.898,26.67,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
84,Frozen,3,Threshold,N/A,357,N/A,N/A,N/A,,6955.2,94.1,113.53,61.27,113.06,88.72,90.59,0.715,30.91,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
85,Frozen,3,Threshold,N/A,363,N/A,N/A,N/A,,9669.6,110.96,120.24,80.42,120.24,104.61,106.33,0.925,35,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
86,Frozen,3,Threshold,N/A,377,N/A,N/A,N/A,,9515.52,110.07,122.44,77.71,122.44,102.68,103.4,0.919,27.41,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
87,Frozen,3,Threshold,N/A,390,N/A,N/A,N/A,,10876.32,117.68,125.84,86.43,125.84,111.23,113.29,0.937,38.44,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
88,Frozen,3,Threshold,N/A,393,N/A,N/A,N/A,,10069.92,113.23,121.71,82.74,121.71,106.99,107.77,0.933,25.73,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
89,Frozen,3,Threshold,N/A,406,N/A,N/A,N/A,,10054.08,113.14,130.67,76.94,131.35,105.6,107.78,0.733,37.67,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
90,Frozen,3,Threshold,N/A,430,N/A,N/A,N/A,,11217.6,119.51,127.83,87.75,127.83,111.81,112.6,0.932,32.36,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
91,Frozen,3,Threshold,N/A,439,N/A,N/A,N/A,,9947.52,112.54,118.8,83.74,118.8,106.95,111.75,0.925,25.98,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
92,Frozen,3,Threshold,N/A,440,N/A,N/A,N/A,,10213.92,114.04,122.69,83.25,122.69,107.45,109.3,0.958,32.8,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
93,Frozen,3,Threshold,N/A,447,N/A,N/A,N/A,,10080,113.29,121.61,82.89,121.61,107.14,109.41,0.932,27.04,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
94,Frozen,3,Threshold,N/A,456,N/A,N/A,N/A,,10828.8,117.42,123.53,87.66,123.53,111.6,115.86,0.92,45.75,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
95,Frozen,3,Threshold,N/A,457,N/A,N/A,N/A,,11148.48,119.14,127.06,87.74,127.06,112.79,115.77,0.924,39.87,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
96,Frozen,3,Threshold,N/A,461,N/A,N/A,N/A,,9797.76,111.69,119.5,81.99,119.5,105.95,108.09,0.934,33.49,N/A,N/A,N/A,N/A,N/A,444,6/14/17,Fidalgo Bay,10,ambient
1,Frozen,1,Threshold,N/A,13,N/A,N/A,N/A,,10768.32,117.09,124.15,86.74,124.15,113.66,114.23,0.931,48.41,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
2,Frozen,1,Threshold,N/A,48,N/A,N/A,N/A,,9943.2,112.52,130.78,76.03,119.61,111.79,116.57,0.73,41.05,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
3,Frozen,1,Threshold,N/A,70,N/A,N/A,N/A,,9878.4,112.15,121.02,81.63,121.02,107.23,120.86,0.824,43.82,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
4,Frozen,1,Threshold,N/A,91,N/A,N/A,N/A,,10219.68,114.07,121.76,83.93,121.76,106.8,110.64,0.939,33.58,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
5,Frozen,1,Threshold,N/A,106,N/A,N/A,N/A,,10336.32,114.72,130.6,79.14,130.6,107.78,110.08,0.787,38.12,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
6,Frozen,1,Threshold,N/A,151,N/A,N/A,N/A,,10380.96,114.97,122.7,84.61,122.7,109.41,111.69,0.929,30.29,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
7,Frozen,1,Threshold,N/A,165,N/A,N/A,N/A,,10072.8,113.25,121.39,82.98,121.39,105.6,110.21,0.924,66.31,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
8,Frozen,1,Threshold,N/A,171,N/A,N/A,N/A,,10173.6,113.81,122.7,82.91,122.7,106.48,115.52,0.882,50.92,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
9,Frozen,1,Threshold,N/A,190,N/A,N/A,N/A,,9181.44,108.12,116.76,78.64,116.76,103.5,108.12,0.889,47.34,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
10,Frozen,1,Threshold,N/A,208,N/A,N/A,N/A,,10412.64,115.14,121.73,85.54,121.73,108.75,110.29,0.924,49.04,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
11,Frozen,1,Threshold,N/A,225,N/A,N/A,N/A,,10507.68,115.67,128.11,82.02,128.11,109.4,111.08,0.87,40.46,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
12,Frozen,1,Threshold,N/A,249,N/A,N/A,N/A,,10882.08,117.71,130.15,83.61,130.15,111.6,112.94,0.828,45.3,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
13,Frozen,1,Threshold,N/A,273,N/A,N/A,N/A,,10784.16,117.18,124.8,86.41,124.8,110.58,113.42,0.935,42.38,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
14,Frozen,1,Threshold,N/A,294,N/A,N/A,N/A,,10323.36,114.65,157.58,65.51,138.25,108.54,112.08,0.652,51.19,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
15,Frozen,1,Threshold,N/A,416,N/A,N/A,N/A,,10074.24,113.26,119.3,84.45,119.3,108.08,109.36,0.945,43.78,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
16,Frozen,1,Threshold,N/A,456,N/A,N/A,N/A,,10611.36,116.24,125.24,84.73,125.24,111.16,114.95,0.919,43.55,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
17,Frozen,1,Threshold,N/A,513,N/A,N/A,N/A,,10841.76,117.49,124.42,87.14,124.42,112.32,117.39,0.861,41.48,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
18,Frozen,2,Threshold,N/A,2,N/A,N/A,N/A,,11075.04,118.75,125.58,88.19,129.26,114.45,118.96,0.761,42.27,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
19,Frozen,2,Threshold,N/A,13,N/A,N/A,N/A,,10460.16,115.4,122.12,85.66,122.12,109.45,110.96,0.921,50.47,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
20,Frozen,2,Threshold,N/A,15,N/A,N/A,N/A,,10874.88,117.67,126.05,86.28,126.05,111.6,112.09,0.927,44.79,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
21,Frozen,2,Threshold,N/A,16,N/A,N/A,N/A,,9236.16,108.44,117.8,78.41,117.8,102.61,103.42,0.951,57.64,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
22,Frozen,2,Threshold,N/A,20,N/A,N/A,N/A,,11129.76,119.04,134.26,82.9,134.26,108,109.83,0.849,50.48,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
23,Frozen,2,Threshold,N/A,25,N/A,N/A,N/A,,9948.96,112.55,119.51,83.25,119.51,109.62,109.9,0.93,45.57,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
24,Frozen,2,Threshold,N/A,31,N/A,N/A,N/A,,10427.04,115.22,126.67,82.31,126.67,110.1,115.06,0.807,54.52,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
25,Frozen,2,Threshold,N/A,40,N/A,N/A,N/A,,10506.24,115.66,122.9,85.49,122.9,110.33,111.23,0.922,63.21,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
26,Frozen,2,Threshold,N/A,44,N/A,N/A,N/A,,8903.52,106.47,122.02,72.97,122.02,92.26,95.38,0.817,51.61,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
27,Frozen,2,Threshold,N/A,54,N/A,N/A,N/A,,10284.48,114.43,126.13,81.54,131.43,113.73,118.26,0.749,40.52,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
28,Frozen,2,Threshold,N/A,66,N/A,N/A,N/A,,8415.36,103.51,119.85,70.22,119.85,98.31,99.93,0.868,36.94,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
29,Frozen,2,Threshold,N/A,67,N/A,N/A,N/A,,10857.6,117.58,123.81,87.7,123.81,112.17,114.28,0.921,36.33,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
30,Frozen,2,Threshold,N/A,72,N/A,N/A,N/A,,10912.32,117.87,126.97,85.95,126.97,115.76,119.64,0.822,50.96,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
31,Frozen,2,Threshold,N/A,79,N/A,N/A,N/A,,10363.68,114.87,124.88,82.99,124.88,111.52,113.25,0.906,44.05,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
32,Frozen,2,Threshold,N/A,82,N/A,N/A,N/A,,10261.44,114.3,121.39,84.53,121.39,110.4,111.99,0.913,49.26,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
33,Frozen,2,Threshold,N/A,91,N/A,N/A,N/A,,10352.16,114.81,106.11,97.56,127.65,109.49,111.96,0.784,40.94,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
34,Frozen,2,Threshold,N/A,94,N/A,N/A,N/A,,11910.24,123.14,142.39,83.64,142.39,113.15,118.35,0.791,60.24,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
35,Frozen,2,Threshold,N/A,127,N/A,N/A,N/A,,10582.56,116.08,122.39,86.46,122.39,110.4,112.97,0.955,47.22,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
36,Frozen,2,Threshold,N/A,173,N/A,N/A,N/A,,10235.52,114.16,121.47,84.27,121.47,108.12,110.53,0.941,46.52,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
37,Frozen,2,Threshold,N/A,193,N/A,N/A,N/A,,15642.72,141.13,197.86,79.06,168.34,124.84,131.33,0.641,52.5,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
38,Frozen,2,Threshold,N/A,200,N/A,N/A,N/A,,10460.16,115.4,121.8,85.88,121.8,114,117.47,0.829,63.53,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
39,Frozen,2,Threshold,N/A,206,N/A,N/A,N/A,,10572.48,116.02,124.47,84.94,124.47,113.99,115.41,0.82,45.7,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
40,Frozen,2,Threshold,N/A,233,N/A,N/A,N/A,,10212.48,114.03,118.46,86.21,127.19,111.19,112.89,0.766,34.29,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
41,Frozen,2,Threshold,N/A,247,N/A,N/A,N/A,,9928.8,112.44,119.71,82.94,119.71,107.42,109.34,0.943,45.81,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
42,Frozen,3,Threshold,N/A,113,N/A,N/A,N/A,,10080,113.29,120.14,83.9,120.14,107.48,108.84,0.927,64.85,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
43,Frozen,3,Threshold,N/A,123,N/A,N/A,N/A,,10535.04,115.82,125.66,83.84,135.56,109.01,114.21,0.754,64.2,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
44,Frozen,3,Threshold,N/A,240,N/A,N/A,N/A,,10173.6,113.81,119.83,84.9,119.83,111,113.12,0.85,38.42,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
45,Frozen,3,Threshold,N/A,259,N/A,N/A,N/A,,10069.92,113.23,120.49,83.58,120.49,107.44,108.06,0.924,38.95,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
46,Frozen,3,Threshold,N/A,265,N/A,N/A,N/A,,10844.64,117.51,125.84,86.18,125.84,113.49,124.14,0.842,49.93,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
47,Frozen,3,Threshold,N/A,278,N/A,N/A,N/A,,10300.32,114.52,121.44,84.82,121.44,109.17,111.13,0.906,57.1,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
48,Frozen,3,Threshold,N/A,286,N/A,N/A,N/A,,10176.48,113.83,119.86,84.9,119.86,109.81,111.81,0.92,36.66,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
49,Frozen,3,Threshold,N/A,329,N/A,N/A,N/A,,10139.04,113.62,168.97,60,150.94,113.26,122.25,0.608,56.29,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
50,Frozen,3,Threshold,N/A,372,N/A,N/A,N/A,,9537.12,110.2,158.2,60.29,129.03,105.6,110.59,0.628,45.75,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
51,Frozen,3,Threshold,N/A,382,N/A,N/A,N/A,,11126.88,119.03,128.47,86.61,128.47,112.21,116.72,0.894,49.49,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
52,Frozen,4,Threshold,N/A,5,N/A,N/A,N/A,,10746.72,116.97,169.56,63.38,143.85,111.8,113.8,0.622,42.71,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
53,Frozen,4,Threshold,N/A,6,N/A,N/A,N/A,,11625.12,121.66,153.22,75.87,145.02,116.96,120.13,0.696,65.43,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
54,Frozen,4,Threshold,N/A,26,N/A,N/A,N/A,,11459.52,120.79,129.69,88.36,129.69,116.26,116.77,0.891,51.52,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
55,Frozen,4,Threshold,N/A,60,N/A,N/A,N/A,,10717.92,116.82,124.42,86.14,124.42,109.99,112.58,0.962,57.29,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
56,Frozen,4,Threshold,N/A,90,N/A,N/A,N/A,,9444.96,109.66,108.18,87.31,122.86,106.99,108.85,0.776,47.16,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
57,Frozen,4,Threshold,N/A,110,N/A,N/A,N/A,,10671.84,116.57,123.56,86.37,123.56,111.31,112.17,0.933,41.95,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
58,Frozen,4,Threshold,N/A,120,N/A,N/A,N/A,,10248.48,114.23,124.8,82.12,124.8,108.29,114.56,0.874,41.79,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
59,Frozen,4,Threshold,N/A,162,N/A,N/A,N/A,,10536.48,115.83,124.17,84.85,124.17,111.44,115.76,0.861,55.53,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
60,Frozen,4,Threshold,N/A,201,N/A,N/A,N/A,,10804.32,117.29,124.98,86.45,124.98,110.4,112.91,0.945,41.67,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
61,Frozen,4,Threshold,N/A,236,N/A,N/A,N/A,,10759.68,117.05,126.78,84.87,126.78,110.4,115.9,0.885,46.26,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
62,Frozen,4,Threshold,N/A,264,N/A,N/A,N/A,,10429.92,115.24,121.48,85.86,121.48,110.4,114.43,0.926,52.93,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
63,Frozen,4,Threshold,N/A,285,N/A,N/A,N/A,,10342.08,114.75,124.22,83.25,124.22,109.47,117.67,0.853,53.05,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
64,Frozen,4,Threshold,N/A,293,N/A,N/A,N/A,,10756.8,117.03,139.04,77.36,139.04,110.12,111.47,0.851,49.33,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
65,Frozen,4,Threshold,N/A,363,N/A,N/A,N/A,,10602.72,116.19,124.55,85.13,124.55,110.98,111.55,0.913,40.03,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
66,Frozen,4,Threshold,N/A,406,N/A,N/A,N/A,,10123.2,113.53,119.51,84.7,119.51,109.47,112.34,0.939,46.69,N/A,N/A,N/A,N/A,N/A,531,5/24/17,Oyster Bay C2,10,ambient
1,Frozen,1,Threshold,N/A,11,N/A,N/A,N/A,,11034.72,118.53,128.79,85.68,128.79,112.43,116.44,0.889,31.17,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
2,Frozen,1,Threshold,N/A,19,N/A,N/A,N/A,,11777.76,122.46,140.88,83.6,134.38,123.28,123.69,0.734,29.82,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
3,Frozen,1,Threshold,N/A,38,N/A,N/A,N/A,,11478.24,120.89,139.25,82.43,141.26,115.64,120.38,0.734,48.56,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
4,Frozen,1,Threshold,N/A,42,N/A,N/A,N/A,,12473.28,126.02,134.89,92.47,134.89,118.32,122.61,0.934,33.17,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
5,Frozen,1,Threshold,N/A,43,N/A,N/A,N/A,,13104,129.17,153.53,85.35,144.99,125.7,133.94,0.721,41.77,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
6,Frozen,1,Threshold,N/A,61,N/A,N/A,N/A,,11622.24,121.65,131.35,88.48,131.35,114.13,121.61,0.884,38.66,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
7,Frozen,1,Threshold,N/A,71,N/A,N/A,N/A,,11540.16,121.22,128.53,89.79,128.53,114,119.02,0.949,37.62,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
8,Frozen,1,Threshold,N/A,75,N/A,N/A,N/A,,11812.32,122.64,139.23,84.84,139.23,114.69,117.56,0.815,47.33,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
9,Frozen,1,Threshold,N/A,100,N/A,N/A,N/A,,12746.88,127.4,137.99,92.38,137.99,121.69,125.77,0.86,39.96,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
10,Frozen,1,Threshold,N/A,103,N/A,N/A,N/A,,13004.64,128.68,172.71,75.3,146.71,123.66,140.36,0.664,28.16,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
11,Frozen,1,Threshold,N/A,110,N/A,N/A,N/A,,13530.24,131.25,142.37,95.03,142.37,124.8,127,0.886,34.77,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
12,Frozen,1,Threshold,N/A,111,N/A,N/A,N/A,,12016.8,123.69,163.79,73.37,145.59,115.07,115.52,0.671,39.26,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
13,Frozen,1,Threshold,N/A,128,N/A,N/A,N/A,,11764.8,122.39,130.99,89.81,130.99,119.73,121.17,0.862,32.07,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
14,Frozen,1,Threshold,N/A,132,N/A,N/A,N/A,,12804.48,127.68,136.48,93.82,136.48,121.39,125.31,0.922,40.54,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
15,Frozen,1,Threshold,N/A,134,N/A,N/A,N/A,,14005.44,133.54,156.02,89.76,143.22,131.47,133.03,0.728,33.89,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
16,Frozen,1,Threshold,N/A,135,N/A,N/A,N/A,,12277.44,125.03,132.05,92.98,132.05,122,123.6,0.896,37.38,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
17,Frozen,1,Threshold,N/A,142,N/A,N/A,N/A,,13291.2,130.09,137.86,96.41,137.86,127.41,129.06,0.896,36.92,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
18,Frozen,1,Threshold,N/A,152,N/A,N/A,N/A,,12258.72,124.93,137.4,89.22,137.4,119.82,125.27,0.843,47.13,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
19,Frozen,1,Threshold,N/A,154,N/A,N/A,N/A,,11534.4,121.19,129.95,88.76,129.95,115.86,116.5,0.937,40.03,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
20,Frozen,1,Threshold,N/A,163,N/A,N/A,N/A,,12107.52,124.16,131.61,92,131.61,119.96,128.29,0.848,40.85,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
21,Frozen,1,Threshold,N/A,187,N/A,N/A,N/A,,12612.96,126.73,134.63,93.68,134.63,120,121.57,0.931,33.39,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
22,Frozen,1,Threshold,N/A,188,N/A,N/A,N/A,,11891.52,123.05,129.53,91.81,129.53,121.38,129.44,0.809,47.48,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
23,Frozen,1,Threshold,N/A,202,N/A,N/A,N/A,,12997.44,128.64,138.86,93.6,138.86,121.41,124.17,0.933,38.3,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
24,Frozen,1,Threshold,N/A,204,N/A,N/A,N/A,,14290.56,134.89,196.16,72.85,151.31,134.35,134.99,0.62,27.44,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
25,Frozen,1,Threshold,N/A,221,N/A,N/A,N/A,,12633.12,126.83,127.15,99.36,137.1,117.7,134.8,0.774,34.96,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
26,Frozen,1,Threshold,N/A,223,N/A,N/A,N/A,,11129.76,119.04,129.39,86.02,129.39,111.2,113.69,0.905,42.35,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
27,Frozen,1,Threshold,N/A,234,N/A,N/A,N/A,,12744,127.38,137.1,92.95,137.1,122.54,125.35,0.935,30.06,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
28,Frozen,2,Threshold,N/A,9,N/A,N/A,N/A,,12751.2,127.42,146.27,87.18,146.27,120.39,126.55,0.832,37.04,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
29,Frozen,2,Threshold,N/A,12,N/A,N/A,N/A,,12368.16,125.49,133.84,92.41,133.84,118.8,124.46,0.918,36.9,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
30,Frozen,2,Threshold,N/A,13,N/A,N/A,N/A,,12672,127.02,136.31,92.96,136.31,122.4,124.74,0.907,28.98,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
31,Frozen,2,Threshold,N/A,20,N/A,N/A,N/A,,12510.72,126.21,136.49,91.66,136.49,119.99,121.61,0.923,30.12,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
32,Frozen,2,Threshold,N/A,27,N/A,N/A,N/A,,12255.84,124.92,133.44,91.84,133.44,119.1,122.16,0.947,36.55,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
33,Frozen,2,Threshold,N/A,31,N/A,N/A,N/A,,11662.56,121.86,128.45,90.79,128.45,114.58,117.09,0.944,39.36,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
34,Frozen,2,Threshold,N/A,39,N/A,N/A,N/A,,12661.92,126.97,132.73,95.4,132.73,125.6,128.39,0.818,43.26,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
35,Frozen,2,Threshold,N/A,41,N/A,N/A,N/A,,12640.32,126.86,136.09,92.88,136.09,122.4,126.84,0.883,33.02,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
36,Frozen,2,Threshold,N/A,45,N/A,N/A,N/A,,12430.08,125.8,134.87,92.16,134.87,122.9,129.37,0.805,28.74,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
37,Frozen,2,Threshold,N/A,49,N/A,N/A,N/A,,13279.68,130.03,142.67,93.08,142.67,125.86,129.01,0.806,35.93,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
38,Frozen,2,Threshold,N/A,58,N/A,N/A,N/A,,13603.68,131.61,142.43,95.51,142.43,127.14,134.01,0.804,34.44,N/A,N/A,N/A,N/A,N/A,452,5/24/17,Fidalgo Bay,10,low
